Model parameters : 76,109,685
batch:  460/ 885, loss: 0.1160, cer: 0.87, elapsed: 10.04s 7.70m 0.79h
batch:  470/ 885, loss: 0.1164, cer: 0.87, elapsed: 10.20s 7.87m 0.79h
batch:  480/ 885, loss: 0.1168, cer: 0.88, elapsed: 10.18s 8.04m 0.79h
batch:  490/ 885, loss: 0.1173, cer: 0.88, elapsed: 10.19s 8.21m 0.79h
batch:  500/ 885, loss: 0.1178, cer: 0.88, elapsed: 10.26s 8.38m 0.80h
batch:  510/ 885, loss: 0.1182, cer: 0.88, elapsed: 9.96s 8.55m 0.80h
batch:  520/ 885, loss: 0.1188, cer: 0.89, elapsed: 10.00s 8.71m 0.80h
batch:  530/ 885, loss: 0.1193, cer: 0.89, elapsed: 10.23s 8.88m 0.81h
batch:  540/ 885, loss: 0.1196, cer: 0.89, elapsed: 10.45s 9.06m 0.81h
batch:  550/ 885, loss: 0.1200, cer: 0.89, elapsed: 9.67s 9.22m 0.81h
batch:  560/ 885, loss: 0.1204, cer: 0.89, elapsed: 10.51s 9.39m 0.81h
batch:  570/ 885, loss: 0.1208, cer: 0.89, elapsed: 10.23s 9.56m 0.82h
batch:  580/ 885, loss: 0.1211, cer: 0.90, elapsed: 10.00s 9.73m 0.82h
batch:  590/ 885, loss: 0.1215, cer: 0.90, elapsed: 10.10s 9.90m 0.82h
batch:  600/ 885, loss: 0.1219, cer: 0.90, elapsed: 9.90s 10.07m 0.83h
batch:  610/ 885, loss: 0.1223, cer: 0.90, elapsed: 10.15s 10.23m 0.83h
batch:  620/ 885, loss: 0.1226, cer: 0.90, elapsed: 9.67s 10.40m 0.83h
batch:  630/ 885, loss: 0.1229, cer: 0.90, elapsed: 10.19s 10.57m 0.83h
batch:  640/ 885, loss: 0.1232, cer: 0.91, elapsed: 10.40s 10.74m 0.84h
batch:  650/ 885, loss: 0.1235, cer: 0.91, elapsed: 10.55s 10.91m 0.84h
batch:  660/ 885, loss: 0.1237, cer: 0.91, elapsed: 9.96s 11.08m 0.84h
batch:  670/ 885, loss: 0.1239, cer: 0.91, elapsed: 10.52s 11.26m 0.85h
batch:  680/ 885, loss: 0.1242, cer: 0.91, elapsed: 10.38s 11.43m 0.85h
batch:  690/ 885, loss: 0.1245, cer: 0.91, elapsed: 10.09s 11.60m 0.85h
batch:  700/ 885, loss: 0.1247, cer: 0.91, elapsed: 10.23s 11.77m 0.85h
batch:  710/ 885, loss: 0.1250, cer: 0.91, elapsed: 9.39s 11.92m 0.86h
batch:  720/ 885, loss: 0.1252, cer: 0.92, elapsed: 10.44s 12.10m 0.86h
batch:  730/ 885, loss: 0.1255, cer: 0.92, elapsed: 10.45s 12.27m 0.86h
batch:  740/ 885, loss: 0.1257, cer: 0.92, elapsed: 10.00s 12.44m 0.86h
batch:  750/ 885, loss: 0.1259, cer: 0.92, elapsed: 10.42s 12.61m 0.87h
batch:  760/ 885, loss: 0.1261, cer: 0.92, elapsed: 10.63s 12.79m 0.87h
batch:  770/ 885, loss: 0.1263, cer: 0.92, elapsed: 10.52s 12.96m 0.87h
batch:  780/ 885, loss: 0.1266, cer: 0.92, elapsed: 10.03s 13.13m 0.88h
batch:  790/ 885, loss: 0.1267, cer: 0.92, elapsed: 10.61s 13.31m 0.88h
batch:  800/ 885, loss: 0.1269, cer: 0.92, elapsed: 10.21s 13.48m 0.88h
batch:  810/ 885, loss: 0.1271, cer: 0.92, elapsed: 10.07s 13.65m 0.88h
batch:  820/ 885, loss: 0.1273, cer: 0.93, elapsed: 10.63s 13.82m 0.89h
batch:  830/ 885, loss: 0.1275, cer: 0.93, elapsed: 9.48s 13.98m 0.89h
batch:  840/ 885, loss: 0.1277, cer: 0.93, elapsed: 9.84s 14.15m 0.89h
batch:  850/ 885, loss: 0.1278, cer: 0.93, elapsed: 10.30s 14.32m 0.90h
batch:  860/ 885, loss: 0.1280, cer: 0.93, elapsed: 9.71s 14.48m 0.90h
batch:  870/ 885, loss: 0.1282, cer: 0.93, elapsed: 10.31s 14.65m 0.90h
batch:  880/ 885, loss: 0.1283, cer: 0.93, elapsed: 9.63s 14.81m 0.90h
Epoch 2 (Training) Loss 0.1284 CER 0.9305
------------------------------------------------------Epoch 2 (Evaluate) Loss 0.1958 CER 2.6330
batch:    0/ 885, loss: 0.1495, cer: 1.00, elapsed: 1.52s 0.03m 0.99h
batch:   10/ 885, loss: 0.1404, cer: 1.00, elapsed: 10.47s 0.20m 0.99h
batch:   20/ 885, loss: 0.1411, cer: 1.00, elapsed: 10.57s 0.38m 1.00h
batch:   30/ 885, loss: 0.1398, cer: 1.00, elapsed: 10.47s 0.55m 1.00h
batch:   40/ 885, loss: 0.1400, cer: 1.00, elapsed: 10.38s 0.72m 1.00h
batch:   50/ 885, loss: 0.1395, cer: 1.00, elapsed: 10.35s 0.90m 1.00h
batch:   60/ 885, loss: 0.1399, cer: 1.00, elapsed: 10.07s 1.06m 1.01h
batch:   70/ 885, loss: 0.1409, cer: 1.00, elapsed: 9.51s 1.22m 1.01h
batch:   80/ 885, loss: 0.1416, cer: 1.00, elapsed: 10.44s 1.40m 1.01h
batch:   90/ 885, loss: 0.1413, cer: 1.00, elapsed: 10.95s 1.58m 1.02h
batch:  100/ 885, loss: 0.1410, cer: 1.00, elapsed: 10.98s 1.76m 1.02h
batch:  110/ 885, loss: 0.1413, cer: 1.00, elapsed: 9.69s 1.92m 1.02h
batch:  120/ 885, loss: 0.1413, cer: 1.00, elapsed: 10.08s 2.09m 1.02h
batch:  130/ 885, loss: 0.1408, cer: 1.00, elapsed: 10.62s 2.27m 1.03h
batch:  140/ 885, loss: 0.1409, cer: 1.00, elapsed: 10.09s 2.44m 1.03h
batch:  150/ 885, loss: 0.1410, cer: 1.00, elapsed: 10.11s 2.60m 1.03h
batch:  160/ 885, loss: 0.1407, cer: 1.00, elapsed: 10.21s 2.78m 1.04h
batch:  170/ 885, loss: 0.1406, cer: 1.00, elapsed: 10.88s 2.96m 1.04h
batch:  180/ 885, loss: 0.1405, cer: 1.00, elapsed: 10.27s 3.13m 1.04h
